1,"""바이스브로트""",Weissbrot,"""바이첸브로트""",Lean,"""직접 굽기""","""식사 빵""","""빵효모""","[""독일인이 즐겨 먹는 흰 빵"", ""밀가루 100%로 만든 흰 빵"", ""Weiss의 뜻이 희다"", ""원래는 밀 재배가 활발한 독일 남부에서 먹었으나 현재는 전역에서 즐겨 먹음"", ""겉은 바삭하고 고소하며 속은 부드러운 식감"", ""가벼움이 맛의 포인트"", ""식사에 곁들이거나 토스트로 버터, 잼, 치즈를 바르거나 샌드위치용으로도 사용"", ""폭신한 느낌 때문에 씹는 맛이 있는 햄보다는 부드러운 식감의 재료와 잘 어울림"", ""포피시드(PoppySeed/양귀비씨앗)나 깨를 토핑하는 경우도 많고 형태는 둥근형, 반달형, 원로프(One Loaf)형태에 땋은 모양을 얹는등 각양 각색"", ""색이 짙은 밀가루를 사용한 할바이스브로트(Halbweissbrot)라는 빵도 존재"", ""속까지 노릇노릇 굽는 것이 맛의 포인트"", ""색이 짙을수록 맛이 좋다""]"
2,"""세이렌""",Seelen,"""바이첸브로트""",Lean,"""팬에 굽기""","""식사 빵""","""빵효모(장시간)""","[""깔끔한 맛과 토핑이 돋보이는 빵"", ""물을 충분히 사용한 소형 밀빵"", ""독일 남서부의 슈바벤(Schwaben) 지방에서 위령의 날을 맞이하기 위해 처음 제작"", ""물의 양을 늘리고 밀 가루를 최소한으로 사용하려고 했던 선인의 지혜가 돋보이는 빵"", ""수분이 많아서 반죽은 부드럽고 묽기때문에 손에 물을 묻혀서 성형"", ""길쭉하고 살짝 뒤틀린 형태로 표면에 캐러웨이 시드(Caraway Seed/독일식 양배추 절임인 사우어크라우트(Sauerkraut)를 만들때 쓰이는 향신료)나 굵은 소금을 뿌리는 것이 기본"", ""겉은 두껍고 바삭하며 속은 쫄깃하고 쫀득"", ""물을 많이 첨가할수록 전분이 풀처럼 되어 쫀득한 식감을 만듦"", ""식사에 곁들여도 좋고 와인이나 맥주 안주로 제격"", ""반으로 갈라서 오픈 샌드위치를 만드는 것도 추천"", ""캐러웨이 시드나 굴은 소금외에도 깨와 치즈 등 가게마다 다양한 토핑을 얹음""]"
3,"""로젠베켄""",Rosenwecken,"""바이첸브로트""",Lean,"""직접 굽기""","""식사 빵""","""빵효모""","[""한 입 크기의 장미꽃 한 송이"", ""독일이나 오스트리아에서는 주 원료를 밀가루로 사용한 동일한 반죽으로도 다양한 종류의 소형빵을 만들며 대포젹인 빵이 카이저 젬멜과 로젠베켄임"", ""독일 남부에서는 소형 빵을 젬멜(Semmel), 또는 베켄(Wecken)이라 부름"", ""장미꽃 모양이 특징"", ""로젠브뢰첸(Rosenbr?tchen)이라고도 불림"", ""갓 구운 빵은 겉이 바삭바삭하고 가벼운 식감"", ""시간이 지나면 빵 속 수분이 겉으로 이동해 고무처럼 딱딱해짐"", ""현지에서는 구운지 2~3시간 이내의 빵만 진열"", ""반으로 갈라 버터와 잼을 바르거나 샌드위치로 만들어 먹는 것을 추천"", ""맛있게 구워지면 윤이나고 갈색빛이 도는 황금색"", ""표면에 치즈 같은 토핑을 얹기도 함""]"
4,"""라우겐브레첼""",Laugenbrezel,"""바이첸브로트""",Lean,"""팬에 굽기""","""식사 빵""","""빵효모(단시간)""","[""브레첼(Brezel)은 라틴어로 \""작은 팔\""이라는 말에서 유래"", ""모양이 \""사랑\""을 의미한다는 설도 존재"", ""팔짱을 낀 듯한 독특한 형태로 독일에서는 빵집의 상징으로 여겨짐"", ""최종 발효 후에 반죽을 라우겐 용액(3~4%의 가성 소다를 첨가한 알칼리성 액체)에 담가 두면 광택이 나는 적갈색으로 구워짐"", ""코팅은 빵이 마르지 않도록 막아주는 역할"", ""브레첼은 딱딱한 식감으로 알려져 있지만 현지에서는 말랑말랑하고 쫀득한 식감이 일반적"", ""달콤한 타입이나 둥그런 형태 등 종류와 형태, 크기는 지역과 가게에 따라 천차만별"", ""샌드위치로 만들 때는 수평으로 자름"", ""굵은 부분에 칼집을 내어 무염 버터를 바르거나 누텔라 등을 발라도 맛있음""]"
5,"""바이첸미슈브로트""",Weizenmischbrot,"""바이첸미슈브로트""",Lean,"""팬에 굽기""","""식사 빵""","""빵효모와 호밀 사워종""","[""가벼운 산미의 순한 맛"", ""미슈(Misch)는 \""섞다\""라는 뜻"", ""밀가루 60~80%, 호밀가루 40~20%의 배합률"", ""독일에서도 가장 소비량이 많은 빵 중 하나"", ""밀가루가 많이 들어갈수록 색이 하얗고 거칠어짐"", ""형태는 보통 반달 모양이고 표면에 칼집을 듬성듬성 내거나 생지에 캐러웨이 시드를 넣어 반죽한 경우도 많음"", ""촉촉한 식감과 무난한 산미로 부담없이 먹을 수 있음"", ""식사에 곁들여서 그대로 먹는 것이 가장 일반적이지만 페이스트, 또는 리예트(Rillettes)[돼지나 거위 고기에 열을 가해 만든 스프레드]를 바르거나 버터와 치즈, 채소, 안초비 등을 얹어서 오픈 샌드위치로 만들어 먹어도 맛이 좋음"", ""따듯하게 데우면 향이 짙어지므로 얇게 슬라이스해서 구운 다음, 버터나 잼을 바르는 것을 추천"", ""오래 보존할 수 있어서 4~5일 동안 먹을 수 있음""]"
6,"""슈바르츠발트브로트""",Schwarzw?lderbrot,"""바이첸미슈브로트""",Lean,"""직접 굽기""","""식사 빵""","""빵효모와 밀가루 사워종""","[""검은 숲을 의미하는 빵"", ""독일 나부의 국경 슈바르츠발트(Schwarzwald)지방의 전통 빵"", ""밀가루가 중심이기 때문에 바이첸미슈브로트로 분류"", ""둥근형이나 반달형이 일반적"", ""슈바르츠발트에는 \""검은 숲\""이라는 의미가 있음"", ""검은 숲을 형상화한 빵도 존재"", ""럼주에 절인 건포도와 무화가를 넣고 반죽한 다음, 표면에 당밀을 발라 검은색으로 굽는 빵도 존재하며 이런 빵은 묵직함과 씹는 맛이 있어, 건포도와 무화과 맛과 더불어 호밀빵 특유의 깊은 풍미를 느낄 수 있음"", ""아무것도 넣지 않은 타입은 두툼하게 슬라이스해서 아침 대용으로, 또는 얇게 슬라이스하여 짭조름한 치즈나 크림치즈를 발라 먹음"", ""건포도와 석류가 들어간 것은 레드 와인이나 산미가 적은 커피와 궁합이 좋음"", ""\""슈바르츠밸더란드브로트\""라고도 함"", ""호밀가루의 배합을 높여서 로겐미슈브로트로 분류하기도 함""]"
7,"""베를리너 란드브로트""",Berliner Landbrot,"""로겐미슈브로트""",Lean,"""직접 굽기""","""식사 빵""","""빵효모와 호밀 사워종""","[""독일 북동부의 베를린 근교에서 만들어진 데서 유래한 이름"", ""란드브로트(Landbrot)는 \""시골 빵\""이라는 의미"", ""촘촘한 입자와 색깔은 독일빵 특징"", ""갈라진 모양은 성형을 하고 나서 호밀가루르 뿌리고 최종 발효 단계가 되면 살짝 건조시킨 표면이 갈라지면서 형성"", ""금이 심하게 갈수록 맛이 좋다고 여김"", ""속은 촘촘하고 식감은 촉촉함"", ""얇게 슬라이스하여 맛이 짙은 파테(P?t?,고기나 생선을 곱게 다지고 양념해 식혀 먹는 음식)나 햄, 치즈와 함께 먹거나 찜 요리에 곁들여서 먹는 방법이 일반적"", ""진한 맛의 요리와 함께 먹으면 산미가 입안을 개운하게 함"", ""미리 잘라 놓고 파는 경우도 있음"", ""구운 지 7~8시간 뒤에 먹는 것이 좋으며 완전히 식히고 나서 잘라야 함""]"
8,"""로겐브뢰첸""",Roggenbr?tchen,"""로겐미슈브로트""",Lean,"""직접 굽기""","""식사 빵""","""빵효모와 호밀 사워종""","[""호밀가루로 만든 작은 빵"", ""독일 소형 빵은 모두 브뢰첸(br?tchen)이라 부름"", ""로겐(Roggen)이 붙으면 보통 호밀가루가 중심인 빵을 가리키지만, 소형 빵으로 호밀가루를 많이 배합하면 잘 부풀지 않기 떄문에 호밀가루와 밀가루를 50:50 비율로 배합하는 것이 일반적"", ""가로로 얇게 슬라이스하면 쫄깃한 식감을 즐길 수 있음"", ""얇게 잘라서 버터나 잼을 바르거나 짭조름한 생 햄과 채소를 넣고 샌드위치를 만들어도 맛있음""]"
9,"""빈슈가우어""",Vinschgauer,"""로겐미슈브로트""",Lean,"""직접 굽기""","""식사 빵""","""빵효모와 호밀 사워종""","[""한입 베어 무는 순간 산뜻한 향이 물씬인 빵"", ""이탈리아와 오스트리아 사이에 위치한 티롤 지방의 도시 이름"", ""독일의 지배가 오스트리아까지 영향을 미쳤던 시대에 제작"", ""호밀가루가 주재료이며 생지에 클로버(티롤 지방에서 채취할 수 있는 허브)나 캐러웨이 시드 등이 들어가기 때문에 향이 강함"", ""빵 속의 식감은 물이 충분히 들어가서 촉촉함"", ""클로버를 구할 수 없을 떄는 다른 향신료를 첨가하여 만들기도 함""]"
10,"""로겐자프트브로트""",Roggensaftbrot,"""로겐미슈브로트""",Lean,"""틀에 굽기""","""식사 빵""","""빵효모와 호밀 사워종""","[""있는 그대로의 산미"", ""자프트(Saft)는 \""주스\""라는 의미로 반죽에 수분을 많이 배합하는 것이 특징"", ""호밀가루를 100% 사용하고 산미가 강하여 입자가 빽뺵함"", ""여러 개의 반죽을 하나로 연결해서 굽기 때문에 측면에 크러스트(Crust)가 만들어지지 않고 부드러운 식감으로 완성 됨"", ""반죽을 연결해서 구운 빵은 수분이 많이 남아 촉촉한 식감을 오래 즐길 수 있음"", ""호밀가루의 비율이 높은 만큼 사워종의 양도 많아지기 때문에 시큼한 산미가 강하게 느껴지고, 인 같은 술과 제법 잘 어울림"", ""얇게 슬라이스하여 굽지 않은 채로 잼을 바르거나 진한 치즈와 이탈리아 식 소시지인 살라미(Salami)를 올려 먹으면 맛있음"", ""소화가 잘 되기 때문에 가볍게 샌드위치로 먹는 것을 추천"", ""산미가 부담스러울 때는 달콤한 생크림이나 꿀을 바르면 한결 먹기 좋음"", ""호밀 전립분이 포함되어 있어 섬유질이 풍부하고 소화가 잘 됨"", ""취향대로 구워먹어도 맛있음""]"
11,"""로겐폴콘브로트""",Roggenvollkornbrot,"""로겐브로트""",Lean,"""틀에 굽기""","""식사 빵""","""호밀 사워종과 빵효모(소량)""","[""오독오독 씹는 맛이 살아있는 곡물의 구수함"", ""폴(Voll)은 \""전체\"", 콘(Korn)은 \""곡물\""이라는 뜻"", ""호밀 전립분을 사용한 빵을 로겐폴콘브로트(Roggenvollkornbrot)라고 부름"", ""호밀 전립분 100%로 만든 빵이나 밀가루와 통보리, 보리, 조, 피, 대두 등 다양한 곡물을 넣음"", ""\""로겐슈로트브로트(Roggenschrotbrot)[굵은 가루를 사용한 빵]\""의 하나로, 식이 섬유가 풍부하고 건강식을 지향하는 사람에게 인기가 높음"", ""전립분의 알갱이가 입에 남기 때문에 카페 라테 처럼 부드러운 음료와 잘 어울림"", ""강한 산미 덕에 와닝과 궁합이 좋음"", ""얇게 슬라이스 하여 훈제 연어나 치즈, 리버 페이스트(Liver Paste)[소나 돼지의 간을 졸여 만든 식품]등 맛이 진한 것을 발라 먹으면 맛있음"", ""간식으로 크림치즈와 꿀을 발라 먹는 것도 추천"", ""토스트를 하면 곡물 알갱이의 구수한 맛을 즐길 수 있음"", ""구운 다음날 먹으면 더 맛있음""]"
12,"""펌퍼니켈""",Pumpernickel,"""로겐브로트""",Lean,"""틀에 굽기""","""식사 빵""","""빵효모에 의한 발효""","[""쪄서 만드는 검은색 전통 빵"", ""호밀 전립분으로 만드는 로겐슈로트브로트의 하나"", ""밀가루 알갱이가 들어가기도 함"", ""원래는 독일 북부의 베스트팔렌(Westfalen)지방에서 만들어진 전통 빵이지만 현재는 독일 전역에서 즐겨 먹음"", ""뜨거운 물을 부은 오븐에서 보통 4시간, 길게는 20시간 동안 굽는 것이 특징"", ""쌀밥 처럼 촉촉한 수분감을 느낄 수 있음"", ""쫀득쫀득한 빵 속은 호밀과 캐러멜의 달콤함이 물씬 느껴짐"", ""호밀가루를 100% 사용하지만 산미가 강하지 않기 때문에 심플하게 버터만 발라먹기 좋음"", ""얇게 슬라이스하여 햄 또는 연어, 사워 크림, 크림치즈 등을 얹거나 감칠맛이 나는 페이스트를 발라도 잘 어울림"", ""크림 스튜등의 찜 요리에 곁들이는 것도 추천"", ""구운 다음날 먹으면 좋고, 일주일 동안 보존이 가능"", ""냉동 보관을 하는 것이 좋음""]"
